Country Name	Country Code	Series Name	Series Code	2015 [YR2015]	2014 [YR2014]	2013 [YR2013]	2012 [YR2012]	2011 [YR2011]	2010 [YR2010]	2009 [YR2009]	2008 [YR2008]	2007 [YR2007]	2006 [YR2006]	2004 [YR2004]	2005 [YR2005]	2000 [YR2000]	2001 [YR2001]	1999 [YR1999]	1998 [YR1998]	1997 [YR1997]	1996 [YR1996]	1995 [YR1995]	1994 [YR1994]	1993 [YR1993]	1991 [YR1991]	1992 [YR1992]	1990 [YR1990]
Libya	LBY	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Liechtenstein	LIE	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Lithuania	LTU	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	35.15	32.63	33.76	37.33	37.06	34.59	34.44	35.2	35.3	31.67	32.01	32.02	32.1	..	32.26	..	..	33.64	..	..	..
Low & middle income	LMY	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Low income	LIC	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Lower middle income	LMC	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Luxembourg	LUX	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	34.79	32.42	30.9	31.53	32.61	31.28	30.96	30.25	31.11	..	..	..	..	..	..	..	..	..	..	..	..
"Macao SAR, China"	MAC	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Macedonia, FYR"	MKD	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	44.05	..	42.64	38.77	39.31	34.26	..	..	28.13	..	..	..	..	..	..	..	..
Madagascar	MDG	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	40.63	..	..	..	..	..	38.88	..	47.44	38.61	..	39.47	..	..	..	45.26	..	..	..
Malawi	MWI	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	46.12	..	..	..	..	39.87	..	..	..	..	..	65.76	..	..	..	..	..	..	..
