This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - proved reserves(bbl) 	 Date of Information
183 	 Korea, South 	               0 	 1 January 2006 est.
184 	 Kiribati 	               0 	 1 January 2006 est.
185 	 Kenya 	               0 	 1 January 2006 est.
186 	 Jamaica 	               0 	 1 January 2006 est.
187 	 Costa Rica 	               0 	 1 January 2006 est.
188 	 Comoros 	               0 	 1 January 2006 est.
189 	 Cayman Islands 	               0 	 1 January 2006 est.
190 	 Sri Lanka 	               0 	 1 January 2006 est.
191 	 Cambodia 	               0 	 1 January 2006 est.
192 	 Burundi 	               0 	 1 January 2006 est.
193 	 Bhutan 	               0 	 1 January 2006 est.
194 	 Solomon Islands 	               0 	 1 January 2006 est.
195 	 Bosnia and Herzegovina 	               0 	 1 January 2006 est.
196 	 Belgium 	               0 	 1 January 2006 est.
197 	 Bahamas, The 	               0 	 1 January 2006 est.
198 	 Bermuda 	               0 	 1 January 2006 est.
199 	 Armenia 	               0 	 1 January 2006 est.
200 	 American Samoa 	               0 	 1 January 2006 est.
201 	 Antigua and Barbuda 	               0 	 1 January 2006 est.

 This file was last updated on 18 December, 2008
